Country,ISO3,Disease,Year,Latest Reported Cases Aggregate,Cases,Cases Lower,Cases Upper,Incidence,Incidence Lower,Incidence Upper,Derived_Cases_Method,Year Range Incidence Estimate
Benin,BEN,Lumpy skin disease virus (Inf. with),2005,21.0,21.0,10.07804650911563,39.47364483662922,1.1082718242470876e-05,5.318673804525988e-06,2.0832156367987e-05,None,2005
Benin,BEN,Mycoplasma mycoides subsp. mycoides SC (Inf. with) (Contagious bovine pleuropneumonia),2005,138.0,138.0,94.42354216496074,201.81953030292578,7.282929130766575e-05,4.9831881584301346e-05,0.00010650995191310188,None,2005
Benin,BEN,Trypanosomosis (tsetse-transmitted) (-2021),2005,3500.0,3500.0,3218.947235354849,3806.609965161465,0.0018471197070784795,0.0016987945355627799,0.002008932652517447,None,2005
Burkina Faso,BFA,Anthrax,2005,118.0,118.0,93.32631956076344,147.78264381699162,1.3727663172472265e-05,1.0857222712344663e-05,1.719246065302629e-05,None,2005
Burkina Faso,BFA,Bovine tuberculosis (-2018),2005,1.0,1.0,0.05703107824502196,4.398728747398594,2.3267225716054688e-07,1.326954970356902e-08,1.023462146294216e-06,None,2005
Burkina Faso,BFA,Dermatophilosis (-2005),2005,3.0,3.0,0.745986221515698,7.77644309885767,6.980167714816406e-07,1.735702979707252e-07,1.8093625684917718e-06,None,2005
Burkina Faso,BFA,Foot and mouth disease virus (Inf. with),2005,3668.0,3668.0,3502.679419124467,3838.4382989651986,0.00042672091963244296,0.00040748816327874145,0.0004465490514958614,None,2005
Burkina Faso,BFA,Haemorrhagic septicaemia (Pasteurella multocida serotypes 6:b and 6:e),2005,443.0,443.0,392.2962231059754,498.8211611828428,5.1536904961061135e-05,4.56382238528124e-05,5.80309227459285e-05,None,2005
Burkina Faso,BFA,Heartwater,2005,13.0,13.0,7.150937934049761,21.399388353673004,3.0247393430871094e-06,1.6638248699303358e-06,4.979043990104217e-06,None,2005
Burkina Faso,BFA,Lumpy skin disease virus (Inf. with),2005,423.0,423.0,380.99040244837005,470.1073638328544,4.921018238945567e-05,4.43229484470837e-05,5.469047072539234e-05,None,2005
Burkina Faso,BFA,Mycoplasma mycoides subsp. mycoides SC (Inf. with) (Contagious bovine pleuropneumonia),2005,181.0,181.0,149.85896836181158,217.25336160503224,2.1056839273029495e-05,1.743401221224684e-05,2.527441501017967e-05,None,2005
Bulgaria,BGR,Anthrax,2005,3.0,3.0,0.7459862215156986,7.77644309885767,6.819886789879288e-06,1.6958471925156258e-06,1.7678153854049125e-05,None,2005
Bulgaria,BGR,Bovine anaplasmosis,2005,1.0,0.9999999999999999,0.05703107824502197,4.398728747398595,2.273295596626429e-06,1.296484990452658e-07,9.999610692215315e-06,None,2005
Bulgaria,BGR,Bovine babesiosis,2005,1.0,0.9999999999999999,0.05703107824502197,4.398728747398595,2.273295596626429e-06,1.296484990452658e-07,9.999610692215315e-06,None,2005
Bulgaria,BGR,Bovine cysticercosis (-2014),2005,5217.0,5217.0,5076.710742650077,5359.848165715311,0.011859783127600082,0.01154086417661251,0.01218451923370686,None,2005
Bulgaria,BGR,Echinococcosis/hydatidosis,2005,1433.0,1433.0,1330.6306924265407,1540.48689717473,0.0016288162949828367,0.001512458446914616,0.0017509910400040124,None,2005
Bulgaria,BGR,Enzootic bovine leukosis,2005,101705.0,101705.0,100823.77480855168,102591.34311495253,0.1156027643274455,0.11460112165376761,0.11661022427760637,None,2005
Bulgaria,BGR,Leptospirosis,2005,97.0,97.0,72.24301566022143,126.87384091925445,0.00011025483643638182,8.211486469369777e-05,0.00014421087194441161,None,2005
Bulgaria,BGR,Q fever,2005,284.0,284.0,239.83591113426775,333.2813998464335,0.00032280797472095297,0.00027260896034720923,0.0003788235693541948,None,2005
Bulgaria,BGR,Rabies virus (Inf. with),2005,1.0,0.9999999999999999,0.05703107824502197,4.398728747398595,2.273295596626429e-06,1.296484990452658e-07,9.999610692215315e-06,None,2005
Bosnia and Herzegovina,BIH,Anthrax,2005,3.0,3.0,0.745986221515698,7.776443098857671,9.760477872996661e-06,2.427060669554786e-06,2.530060026567263e-05,None,2005
Bosnia and Herzegovina,BIH,Bovine tuberculosis (-2018),2005,1.0,1.0,0.057031078245021974,4.398728747398595,3.2534926243322205e-06,1.8555019242789275e-07,1.4311231536099435e-05,None,2005
Bosnia and Herzegovina,BIH,Brucella abortus (Inf. with),2005,56.0,56.0,37.94917438549484,79.16178363196434,9.109779348130217e-05,6.173367948135235e-05,0.00012877613958778953,None,2005
Bosnia and Herzegovina,BIH,Enzootic bovine leukosis,2005,5.0,5.0,1.0784542444410907,13.948278374767074,8.133731560830551e-06,1.7543714649844335e-06,2.2690310407218644e-05,None,2005
Bosnia and Herzegovina,BIH,Infectious bovine rhinotracheitis/infectious pustular vulvovaginitis,2005,2.0,2.0,0.11406215649004395,8.79745749479719,3.2534926243322205e-06,1.8555019242789275e-07,1.4311231536099435e-05,None,2005
Bosnia and Herzegovina,BIH,Leptospirosis,2005,14.0,14.0,6.252076684136231,26.82841863196509,2.2774448370325543e-05,1.0170542689298336e-05,4.364303107079777e-05,None,2005
Bosnia and Herzegovina,BIH,Q fever,2005,34.0,34.0,20.54576679498856,52.55770385039155,5.5309374613647755e-05,3.3422750364372565e-05,8.549805091454302e-05,None,2005
Bosnia and Herzegovina,BIH,Rabies virus (Inf. with),2005,5.0,5.0,1.0784542444410907,13.948278374767074,8.133731560830551e-06,1.7543714649844335e-06,2.2690310407218644e-05,None,2005
Belarus,BLR,Bovine cysticercosis (-2014),2005,39.0,39.0,21.48461593727996,64.16613077705405,7.139457401237506e-06,3.933038468363043e-06,1.1746445058590058e-05,None,2005
