Year,Semester,Region,Country,Disease,Animal category,Species,Vaccine type,Number of vaccinated
2005,Jul-Dec 2005,Africa,Egypt,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,523407
2005,Jul-Dec 2005,Africa,Egypt,Newcastle disease virus (Inf. with),Domestic,Birds,-,3297566
2005,Jul-Dec 2005,Africa,Egypt,Avian infectious bronchitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Egypt,Avian infectious laryngotracheitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Egypt,Duck virus enteritis (-2005),Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Egypt,Duck virus hepatitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Egypt,Marek's disease (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,El Salvador,High pathogenicity avian influenza viruses (poultry) (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Eritrea,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,6000
2005,Jul-Dec 2005,Europe,Estonia,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,5045500
2005,Jul-Dec 2005,Europe,Estonia,Avian infectious bronchitis,Domestic,Birds,-,5140500
2005,Jul-Dec 2005,Europe,Estonia,Marek's disease (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Ethiopia,Fowl pox (-2005),Domestic,Birds,-,500000
2005,Jul-Dec 2005,Africa,Ethiopia,Newcastle disease virus (Inf. with),Domestic,Birds,-,4000000
2005,Jul-Dec 2005,Oceania,French Polynesia,Newcastle disease virus (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Germany,Avian infectious bronchitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Germany,Avian infectious laryngotracheitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Germany,Fowl cholera (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Germany,Marek's disease (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Germany,Newcastle disease virus (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Germany,Pullorum disease,Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Ghana,Marek's disease (-2011),Domestic,Birds,-,28200
2005,Jul-Dec 2005,Africa,Ghana,Fowl pox (-2005),Domestic,Birds,-,755207
2005,Jul-Dec 2005,Africa,Ghana,Newcastle disease virus (Inf. with),Domestic,Birds,-,4129267
2005,Jul-Dec 2005,Europe,Greece,Newcastle disease virus (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Americas,Guatemala,Fowl cholera (-2011),Domestic,Birds,-,26000000
2005,Jul-Dec 2005,Americas,Guatemala,Fowl pox (-2005),Domestic,Birds,-,26000000
2005,Jul-Dec 2005,Americas,Guatemala,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,26000000
2005,Jul-Dec 2005,Africa,Guinea,Newcastle disease virus (Inf. with),Domestic,Birds,-,53184
2005,Jul-Dec 2005,Africa,Guinea-Bissau,Newcastle disease virus (Inf. with),Domestic,Birds,-,653
2005,Jul-Dec 2005,Americas,Haiti,Newcastle disease virus (Inf. with),Domestic,Birds,-,300251
2005,Jul-Dec 2005,Asia,Hong Kong,Avian infectious bronchitis,Domestic,Birds,-,6039282
2005,Jul-Dec 2005,Asia,Hong Kong,Avian infectious laryngotracheitis,Domestic,Birds,-,6039282
2005,Jul-Dec 2005,Asia,Hong Kong,High pathogenicity avian influenza viruses (poultry) (Inf. with),Domestic,Birds,-,6039282
2005,Jul-Dec 2005,Asia,Hong Kong,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,6039282
2005,Jul-Dec 2005,Asia,Hong Kong,Newcastle disease virus (Inf. with),Domestic,Birds,-,6039282
2005,Jul-Dec 2005,Asia,Hong Kong,Marek's disease (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Hungary,Fowl cholera (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Hungary,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,-
2005,Jul-Dec 2005,Europe,Hungary,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),Domestic,Birds,-,-
